Programa,Threads,Tamaño Matriz,Tiempo,Iteracion
matrizFxC,1,64,580,1
matrizFxT,1,64,581,1
mmPosix,1,64,1116,1
matrizFxC,1,128,4165,1
matrizFxT,1,128,3792,1
mmPosix,1,128,5087,1
matrizFxC,1,256,32840,1
matrizFxT,1,256,32696,1
mmPosix,1,256,37883,1
matrizFxC,1,512,411316,1
matrizFxT,1,512,271765,1
mmPosix,1,512,419993,1
matrizFxC,1,1024,4813392,1
matrizFxT,1,1024,2224016,1
mmPosix,1,1024,5065989,1
matrizFxC,2,64,530,1
matrizFxT,2,64,394,1
mmPosix,2,64,1016,1
matrizFxC,2,128,2409,1
matrizFxT,2,128,2293,1
mmPosix,2,128,2884,1
matrizFxC,2,256,17701,1
matrizFxT,2,256,16938,1
mmPosix,2,256,19816,1
matrizFxC,2,512,199278,1
matrizFxT,2,512,138228,1
mmPosix,2,512,205190,1
matrizFxC,2,1024,2642337,1
matrizFxT,2,1024,1122985,1
mmPosix,2,1024,2567881,1
matrizFxC,4,64,536,1
matrizFxT,4,64,432,1
mmPosix,4,64,694,1
matrizFxC,4,128,1401,1
matrizFxT,4,128,1233,1
mmPosix,4,128,1872,1
matrizFxC,4,256,19568,1
matrizFxT,4,256,8989,1
mmPosix,4,256,10860,1
matrizFxC,4,512,108510,1
matrizFxT,4,512,70733,1
mmPosix,4,512,106053,1
matrizFxC,4,1024,1295606,1
matrizFxT,4,1024,577709,1
mmPosix,4,1024,1363624,1
matrizFxC,8,64,414,1
matrizFxT,8,64,425,1
mmPosix,8,64,798,1
matrizFxC,8,128,898,1
matrizFxT,8,128,852,1
mmPosix,8,128,1404,1
matrizFxC,8,256,4908,1
matrizFxT,8,256,4813,1
mmPosix,8,256,5555,1
matrizFxC,8,512,58509,1
matrizFxT,8,512,37741,1
mmPosix,8,512,54142,1
matrizFxC,8,1024,697126,1
matrizFxT,8,1024,302565,1
mmPosix,8,1024,674101,1
matrizFxC,16,64,479,1
matrizFxT,16,64,361,1
mmPosix,16,64,630,1
matrizFxC,16,128,679,1
matrizFxT,16,128,814,1
mmPosix,16,128,778,1
matrizFxC,16,256,2672,1
matrizFxT,16,256,3885,1
mmPosix,16,256,3158,1
matrizFxC,16,512,28759,1
matrizFxT,16,512,19507,1
mmPosix,16,512,28252,1
matrizFxC,16,1024,351219,1
matrizFxT,16,1024,160222,1
mmPosix,16,1024,361684,1
matrizFxC,32,64,655,1
matrizFxT,32,64,664,1
mmPosix,32,64,1041,1
matrizFxC,32,128,938,1
matrizFxT,32,128,853,1
mmPosix,32,128,1209,1
matrizFxC,32,256,2732,1
matrizFxT,32,256,2313,1
mmPosix,32,256,2945,1
matrizFxC,32,512,23649,1
matrizFxT,32,512,13839,1
mmPosix,32,512,24308,1
matrizFxC,32,1024,260673,1
matrizFxT,32,1024,103475,1
mmPosix,32,1024,261182,1
matrizFxC,1,64,566,2
matrizFxT,1,64,565,2
mmPosix,1,64,1178,2
matrizFxC,1,128,4210,2
matrizFxT,1,128,3779,2
mmPosix,1,128,5340,2
matrizFxC,1,256,32779,2
matrizFxT,1,256,33215,2
mmPosix,1,256,43675,2
matrizFxC,1,512,626501,2
matrizFxT,1,512,274939,2
mmPosix,1,512,485370,2
matrizFxC,1,1024,4974321,2
matrizFxT,1,1024,2232709,2
mmPosix,1,1024,5023523,2
matrizFxC,2,64,484,2
matrizFxT,2,64,549,2
mmPosix,2,64,1031,2
matrizFxC,2,128,2495,2
matrizFxT,2,128,2207,2
mmPosix,2,128,2961,2
matrizFxC,2,256,16868,2
matrizFxT,2,256,17318,2
mmPosix,2,256,19595,2
matrizFxC,2,512,222806,2
matrizFxT,2,512,137735,2
mmPosix,2,512,211174,2
matrizFxC,2,1024,2733532,2
matrizFxT,2,1024,1134583,2
mmPosix,2,1024,2528967,2
matrizFxC,4,64,584,2
matrizFxT,4,64,429,2
mmPosix,4,64,1433,2
matrizFxC,4,128,1399,2
matrizFxT,4,128,1404,2
mmPosix,4,128,1617,2
matrizFxC,4,256,9015,2
matrizFxT,4,256,9151,2
mmPosix,4,256,10743,2
matrizFxC,4,512,171823,2
matrizFxT,4,512,71475,2
mmPosix,4,512,104277,2
matrizFxC,4,1024,1313304,2
matrizFxT,4,1024,576392,2
mmPosix,4,1024,1395547,2
matrizFxC,8,64,384,2
matrizFxT,8,64,393,2
mmPosix,8,64,542,2
matrizFxC,8,128,858,2
matrizFxT,8,128,909,2
mmPosix,8,128,1450,2
matrizFxC,8,256,5149,2
matrizFxT,8,256,4883,2
mmPosix,8,256,5534,2
matrizFxC,8,512,53196,2
matrizFxT,8,512,37839,2
mmPosix,8,512,52227,2
matrizFxC,8,1024,696521,2
matrizFxT,8,1024,305367,2
mmPosix,8,1024,648677,2
matrizFxC,16,64,470,2
matrizFxT,16,64,473,2
mmPosix,16,64,589,2
matrizFxC,16,128,745,2
matrizFxT,16,128,638,2
mmPosix,16,128,739,2
matrizFxC,16,256,2775,2
matrizFxT,16,256,2650,2
mmPosix,16,256,3038,2
matrizFxC,16,512,38973,2
matrizFxT,16,512,19447,2
mmPosix,16,512,28470,2
matrizFxC,16,1024,350016,2
matrizFxT,16,1024,159553,2
mmPosix,16,1024,331338,2
